date;state;COUNTRY;confirmed;confirmed_filtered;confirmed_DR;confirmed_filtered_DR
2020-01-22;Alberta;Canada;0;0.0;;
2020-01-22;no;Korea, South;1;0.7999999999999997;;
2020-01-22;no;Kosovo;0;0.0;;
2020-01-22;no;Kuwait;0;0.0;;
2020-01-22;no;Kyrgyzstan;0;0.0;;
2020-01-22;no;Laos;0;0.0;;
2020-01-22;no;Latvia;0;0.0;;
2020-01-22;no;Lebanon;0;0.0;;
2020-01-22;no;Lesotho;0;0.0;;
2020-01-22;no;Liberia;0;0.0;;
2020-01-22;no;Libya;0;0.0;;
2020-01-22;no;Liechtenstein;0;0.0;;
2020-01-22;no;Lithuania;0;0.0;;
2020-01-22;no;Luxembourg;0;0.0;;
2020-01-22;no;MS Zaandam;0;0.0;;
2020-01-22;no;Madagascar;0;0.0;;
2020-01-22;no;Malawi;0;0.0;;
2020-01-22;no;Malaysia;0;-0.7999999999999988;;
2020-01-22;no;Maldives;0;0.0;;
2020-01-22;no;Mali;0;0.0;;
2020-01-22;no;Malta;0;0.0;;
2020-01-22;no;Mauritania;0;0.0;;
2020-01-22;no;Mauritius;0;0.0;;
2020-01-22;no;Mexico;0;0.0;;
2020-01-22;no;Moldova;0;0.0;;
2020-01-22;no;Monaco;0;0.0;;
2020-01-22;no;Mongolia;0;0.0;;
2020-01-22;no;Montenegro;0;0.0;;
2020-01-22;no;Morocco;0;0.0;;
2020-01-22;no;Mozambique;0;0.0;;
2020-01-22;no;Kenya;0;0.0;;
2020-01-22;no;Kazakhstan;0;0.0;;
2020-01-22;no;Jordan;0;0.0;;
2020-01-22;no;Japan;2;1.5999999999999996;;
2020-01-22;no;Estonia;0;0.0;;
2020-01-22;no;Eswatini;0;0.0;;
2020-01-22;no;Ethiopia;0;0.0;;
2020-01-22;no;Fiji;0;0.0;;
2020-01-22;no;Finland;0;0.0;;
2020-01-22;no;France;0;-0.19999999999999962;;
2020-01-22;no;Gabon;0;0.0;;
2020-01-22;no;Gambia;0;0.0;;
2020-01-22;no;Georgia;0;0.0;;
2020-01-22;no;Germany;0;0.0;;
2020-01-22;no;Ghana;0;0.0;;
2020-01-22;no;Greece;0;0.0;;
2020-01-22;no;Grenada;0;0.0;;
2020-01-22;no;Guatemala;0;0.0;;
2020-01-22;no;Nepal;0;-0.19999999999999965;;
2020-01-22;no;Guinea;0;0.0;;
2020-01-22;no;Guyana;0;0.0;;
2020-01-22;no;Haiti;0;0.0;;
2020-01-22;no;Holy See;0;0.0;;
2020-01-22;no;Honduras;0;0.0;;
2020-01-22;no;Hungary;0;0.0;;
2020-01-22;no;Iceland;0;0.0;;
2020-01-22;no;India;0;0.0;;
2020-01-22;no;Indonesia;0;0.0;;
2020-01-22;no;Iran;0;0.0;;
2020-01-22;no;Iraq;0;0.0;;
2020-01-22;no;Ireland;0;0.0;;
2020-01-22;no;Israel;0;0.0;;
2020-01-22;no;Italy;0;0.0;;
2020-01-22;no;Jamaica;0;0.0;;
2020-01-22;no;Guinea-Bissau;0;0.0;;
2020-01-22;no;Eritrea;0;0.0;;
2020-01-22;no;Netherlands;0;0.0;;
2020-01-22;no;Nicaragua;0;0.0;;
2020-01-22;no;Sri Lanka;0;0.0;;
2020-01-22;no;Sudan;0;0.0;;
2020-01-22;no;Suriname;0;0.0;;
2020-01-22;no;Sweden;0;0.0;;
2020-01-22;no;Switzerland;0;0.0;;
2020-01-22;no;Syria;0;0.0;;
2020-01-22;no;Taiwan*;1;0.8000000000000003;;
2020-01-22;no;Tajikistan;0;0.0;;
2020-01-22;no;Tanzania;0;0.0;;
2020-01-22;no;Thailand;2;1.7999999999999994;;
2020-01-22;no;Timor-Leste;0;0.0;;
2020-01-22;no;Togo;0;0.0;;
2020-01-22;no;Trinidad and Tobago;0;0.0;;
2020-01-22;no;Tunisia;0;0.0;;
2020-01-22;no;Turkey;0;0.0;;
2020-01-22;no;US;1;0.4;;
2020-01-22;no;Uganda;0;0.0;;
2020-01-22;no;Ukraine;0;0.0;;
2020-01-22;no;United Arab Emirates;0;0.0;;
2020-01-22;no;United Kingdom;0;0.0;;
2020-01-22;no;Uruguay;0;0.0;;
2020-01-22;no;Uzbekistan;0;0.0;;
2020-01-22;no;Venezuela;0;0.0;;
2020-01-22;no;Vietnam;0;0.7999999999999995;;
2020-01-22;no;West Bank and Gaza;0;0.0;;
2020-01-22;no;Western Sahara;0;0.0;;
2020-01-22;no;Yemen;0;0.0;;
2020-01-22;no;Zambia;0;0.0;;
2020-01-22;no;Zimbabwe;0;0.0;;
2020-01-22;no;Spain;0;0.0;;
2020-01-22;no;South Sudan;0;0.0;;
2020-01-22;no;South Africa;0;0.0;;
2020-01-22;no;Somalia;0;0.0;;
2020-01-22;no;Niger;0;0.0;;
2020-01-22;no;Nigeria;0;0.0;;
2020-01-22;no;North Macedonia;0;0.0;;
2020-01-22;no;Norway;0;0.0;;
2020-01-22;no;Oman;0;0.0;;
2020-01-22;no;Pakistan;0;0.0;;
2020-01-22;no;Panama;0;0.0;;
2020-01-22;no;Papua New Guinea;0;0.0;;
2020-01-22;no;Paraguay;0;0.0;;
2020-01-22;no;Peru;0;0.0;;
2020-01-22;no;Philippines;0;0.0;;
2020-01-22;no;Poland;0;0.0;;
2020-01-22;no;Portugal;0;0.0;;
2020-01-22;no;Qatar;0;0.0;;
2020-01-22;no;New Zealand;0;0.0;;
2020-01-22;no;Romania;0;0.0;;
2020-01-22;no;Rwanda;0;0.0;;
2020-01-22;no;Saint Kitts and Nevis;0;0.0;;
2020-01-22;no;Saint Lucia;0;0.0;;
2020-01-22;no;Saint Vincent and the Grenadines;0;0.0;;
2020-01-22;no;San Marino;0;0.0;;
2020-01-22;no;Sao Tome and Principe;0;0.0;;
2020-01-22;no;Saudi Arabia;0;0.0;;
2020-01-22;no;Senegal;0;0.0;;
2020-01-22;no;Serbia;0;0.0;;
2020-01-22;no;Seychelles;0;0.0;;
2020-01-22;no;Sierra Leone;0;0.0;;
2020-01-22;no;Singapore;0;0.20000000000000082;;
2020-01-22;no;Slovakia;0;0.0;;
2020-01-22;no;Slovenia;0;0.0;;
2020-01-22;no;Russia;0;0.0;;
2020-01-22;no;Equatorial Guinea;0;0.0;;
2020-01-22;no;Namibia;0;0.0;;
2020-01-22;no;Egypt;0;0.0;;
2020-01-22;Inner Mongolia;China;0;-1.199999999999998;;
2020-01-22;Isle of Man;United Kingdom;0;0.0;;
2020-01-22;Jiangsu;China;1;-2.199999999999995;;
2020-01-22;Jiangxi;China;2;0.400000000000002;;
2020-01-22;Jilin;China;0;0.2000000000000006;;
2020-01-22;Liaoning;China;2;-0.999999999999997;;
2020-01-22;Macau;China;1;0.8;;
2020-01-22;Manitoba;Canada;0;0.0;;
2020-01-22;Martinique;France;0;0.0;;
2020-01-22;Mayotte;France;0;0.0;;
2020-01-22;Montserrat;United Kingdom;0;0.0;;
2020-01-22;New Brunswick;Canada;0;0.0;;
2020-01-22;New Caledonia;France;0;0.0;;
2020-01-22;New South Wales;Australia;0;-0.599999999999999;;
2020-01-22;Newfoundland and Labrador;Canada;0;0.0;;
2020-01-22;Ningxia;China;1;0.6000000000000002;;
2020-01-22;Northern Territory;Australia;0;0.0;;
2020-01-22;Northwest Territories;Canada;0;0.0;;
2020-01-22;Nova Scotia;Canada;0;0.0;;
2020-01-22;Ontario;Canada;0;-0.19999999999999973;;
2020-01-22;Prince Edward Island;Canada;0;0.0;;
2020-01-22;Qinghai;China;0;-0.19999999999999965;;
2020-01-22;Quebec;Canada;0;0.0;;
2020-01-22;Queensland;Australia;0;0.0;;
2020-01-22;Reunion;France;0;0.0;;
2020-01-22;Saint Barthelemy;France;0;0.0;;
2020-01-22;Saint Pierre and Miquelon;France;0;0.0;;
2020-01-22;Saskatchewan;Canada;0;0.0;;
2020-01-22;Shaanxi;China;0;-2.199999999999998;;
2020-01-22;Hunan;China;4;-2.999999999999993;;
2020-01-22;Hubei;China;444;342.1999999999998;;
2020-01-22;Hong Kong;China;0;-0.4;;
2020-01-22;Henan;China;5;-9.799999999999976;;
2020-01-22;no;El Salvador;0;0.0;;
2020-01-22;Anhui;China;1;-4.799999999999992;;
2020-01-22;Aruba;Netherlands;0;0.0;;
2020-01-22;Australian Capital Territory;Australia;0;0.0;;
2020-01-22;Beijing;China;14;10.8;;
2020-01-22;Bermuda;United Kingdom;0;0.0;;
2020-01-22;Bonaire, Sint Eustatius and Saba;Netherlands;0;0.0;;
2020-01-22;British Columbia;Canada;0;0.0;;
2020-01-22;British Virgin Islands;United Kingdom;0;0.0;;
2020-01-22;Cayman Islands;United Kingdom;0;0.0;;
2020-01-22;Channel Islands;United Kingdom;0;0.0;;
2020-01-22;Chongqing;China;6;-2.3999999999999866;;
2020-01-22;Curacao;Netherlands;0;0.0;;
2020-01-22;Diamond Princess;Canada;0;0.0;;
2020-01-22;Shandong;China;2;-2.599999999999992;;
2020-01-22;Falkland Islands (Malvinas);United Kingdom;0;0.0;;
2020-01-22;French Guiana;France;0;0.0;;
2020-01-22;French Polynesia;France;0;0.0;;
